url,title,brand,Switch Type,Hot-Swap,Keycaps,Keycap Color,Size,Key Count,Frame Color,LED Backlight,Connection,Response Rate,N-Key Rollover,Anti-Ghosting,Compatibility,Physical Layout,Regional Layout,Dimensions,Weight,Warranty,model
https://keybumps.com/keyboard/ducky-one-3-mini-daybreak.html,Ducky One 3 Mini Daybreak 60% Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Blue,60%,61 keys,Blue,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Mini Daybreak 60%
https://keybumps.com/keyboard/ducky-one-3-sf-aura-clear-black-65.html,Ducky One 3 SF Aura Clear Black 65% Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,Black,65%,68 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Aura Clear Black 65%
https://keybumps.com/keyboard/ducky-one-3-sf-aura-clear-white-65.html,Ducky One 3 SF Aura Clear White 65% Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,White,65%,68 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Aura Clear White 65%
https://keybumps.com/keyboard/ducky-one-3-sf-classic.html,Ducky One 3 SF Classic 65% Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Black,65%,68 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Classic 65%
https://keybumps.com/keyboard/ducky-one-3-sf-daybreak.html,Ducky One 3 SF Daybreak 65% Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Blue,65%,68 keys,Blue,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Daybreak 65%
https://keybumps.com/keyboard/ducky-one-3-sf-pure-white.html,Ducky One 3 SF Pure White 65% Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,White,65%,68 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Pure White 65%
https://keybumps.com/keyboard/ducky-one-3-sf-yellow.html,Ducky One 3 SF Yellow 65% Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Yellow,65%,68 keys,Yellow,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 SF Yellow 65%
https://keybumps.com/keyboard/ducky-one-3-tkl-aura-clear-black.html,Ducky One 3 TKL Aura Clear Black Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,Black,Tenkeyless (TKL),87 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 TKL Aura Clear Black
https://keybumps.com/keyboard/ducky-one-3-tkl-classic.html,Ducky One 3 TKL Classic Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Black,Tenkeyless (TKL),87 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 TKL Classic
https://keybumps.com/keyboard/ducky-one-3-tkl-pure-white.html,Ducky One 3 TKL Pure White Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,White,Tenkeyless (TKL),87 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 TKL Pure White
https://keybumps.com/keyboard/ducky-one-3-yellow-tkl.html,Ducky One 3 Yellow TKL Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Yellow,Tenkeyless (TKL),87 keys,Yellow,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Yellow TKL
https://keybumps.com/keyboard/ducky-x-mk-x-varmilo-flare-star-special-edition-bluetooth.html,Ducky x MK x Varmilo Flare Star Special Edition Bluetooth Mechanical Keyboard,Ducky,Cherry MX or Kailh,No,,White/Yellow/Blue/Red,,,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,x MK x Varmilo Flare Star Special Edition Bluetooth
